Player;Championship;Balance;ADR;Kast;Rating;Map;Side
Epitacio 'TACO' de Melo;CS Summit 6 North America;2;96.8;88.9%;1.57;Vertigo;Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;3;90.0;77.8%;1.45;Vertigo;Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;-4;32.4;55.6%;0.67;Vertigo;Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;-3;39.3;77.8%;0.64;Vertigo;Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;-5;36.8;44.4%;0.53;Vertigo;Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;-3;93.9;66.7%;0.88;Vertigo;Counter Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;-2;62.7;66.7%;0.86;Vertigo;Counter Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;-2;61.4;66.7%;0.76;Vertigo;Counter Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;-4;56.5;60.0%;0.65;Vertigo;Counter Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;-8;43.6;66.7%;0.49;Vertigo;Counter Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;2;102.4;66.7%;1.31;Inferno;Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;-3;86.1;60.0%;1.12;Inferno;Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;-7;57.4;60.0%;0.68;Inferno;Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;-7;49.5;53.3%;0.58;Inferno;Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;-7;35.5;46.7%;0.38;Inferno;Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;0;112.7;85.7%;1.36;Inferno;Counter Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;-1;62.3;57.1%;0.88;Inferno;Counter Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;-1;47.3;71.4%;0.84;Inferno;Counter Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;-1;62.1;57.1%;0.62;Inferno;Counter Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;-5;28.0;28.6%;0.22;Inferno;Counter Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;2;53.2;70.0%;1.21;Overpass;Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;2;84.0;50.0%;1.12;Overpass;Terrorist
