Dia/Sem;Dia;Local;Categoria;Dispositivo;Receita de produto;Receita de frete;Despesa de Frete;Qtd de pedidos;%Margem do produto;
Qui;05/jan;região I;A;1;6.794.499;56.097;192.095;9.063;17%;
Sex;06/jan;região I;A;1;6.108.482;51.686;167.956;8.447;16%;
Sáb;07/jan;região I;A;1;4.255.298;34.873;121.235;5.956;15%;
Dom;08/jan;região I;A;1;4.462.183;34.996;131.338;6.006;15%;
Seg;09/jan;região I;A;1;6.943.071;62.398;191.310;9.598;16%;
Ter;10/jan;região I;A;1;6.925.931;57.049;192.356;9.348;16%;
Qua;11/jan;região I;A;1;6.561.251;55.269;184.014;8.847;17%;
Qui;12/jan;região I;A;1;6.521.677;54.278;183.685;9.259;17%;
Sex;13/jan;região I;A;1;5.433.717;39.837;150.338;7.581;16%;
Sáb;14/jan;região I;A;1;4.120.829;29.745;117.570;5.660;16%;
Dom;15/jan;região I;A;1;5.091.928;34.250;151.388;7.315;15%;
Seg;16/jan;região I;A;1;7.336.125;55.790;204.953;10.410;16%;
Ter;17/jan;região I;A;1;6.249.602;44.460;175.924;8.663;17%;
Qua;18/jan;região I;A;1;5.061.317;36.845;141.649;6.845;17%;
Qui;19/jan;região I;A;1;3.844.129;25.943;113.234;5.267;16%;
Sex;20/jan;região I;A;1;5.109.421;39.339;143.371;7.096;14%;
Sáb;21/jan;região I;A;1;4.118.525;30.523;112.647;5.448;12%;
Dom;22/jan;região I;A;1;3.884.423;28.521;109.298;5.121;13%;
Seg;23/jan;região I;A;1;6.797.685;50.982;198.491;9.386;13%;
Ter;24/jan;região I;A;1;7.029.794;51.363;193.592;9.848;13%;
Qua;25/jan;região I;A;1;7.311.139;51.561;208.422;10.322;13%;
Qui;26/jan;região I;A;1;6.335.310;43.062;182.425;8.951;12%;
Sex;27/jan;região I;A;1;6.121.927;37.402;169.369;8.224;12%;
Sáb;28/jan;região I;A;1;3.943.103;26.853;108.899;5.432;11%;
Dom;29/jan;região I;A;1;3.773.437;24.049;106.851;5.298;11%;
Seg;30/jan;região I;A;1;6.231.781;47.583;176.181;8.967;12%;
Ter;31/jan;região I;A;1;7.273.408;50.194;198.553;10.322;11%;
Qua;01/fev;região I;A;1;6.495.924;44.888;180.251;8.924;11%;
Qui;02/fev;região I;A;1;6.458.143;44.217;172.678;8.813;10%;
Sex;03/fev;região I;A;1;5.581.525;34.590;156.065;7.800;11%;
Sáb;04/fev;região I;A;1;3.617.833;25.375;98.679;5.190;14%;
Dom;05/fev;região I;A;1;3.668.611;22.678;101.470;5.182;15%;
Seg;06/fev;região I;A;1;6.547.645;43.566;187.264;9.698;14%;
Ter;07/fev;região I;A;1;5.335.231;36.680;154.352;7.850;14%;
Qua;08/fev;região I;A;1;5.062.343;34.795;135.818;7.423;16%;
Qui;09/fev;região I;A;1;5.206.107;28.587;142.599;7.173;16%;
Sex;10/fev;região I;A;1;4.871.907;30.758;128.892;6.445;17%;
Sáb;11/fev;região I;A;1;3.708.630;22.165;97.964;4.747;17%;
Dom;12/fev;região I;A;1;3.853.369;22.723;101.163;4.920;17%;
Seg;13/fev;região I;A;1;6.085.047;38.448;161.143;8.135;17%;
Ter;14/fev;região I;A;1;6.937.229;45.802;186.697;9.232;17%;
Qua;15/fev;região I;A;1;6.446.418;40.940;172.355;8.944;16%;
Qui;16/fev;região I;A;1;4.764.948;30.764;121.793;6.406;17%;
Sex;17/fev;região I;A;1;4.679.884;26.296;125.406;6.079;17%;
Sáb;18/fev;região I;A;1;2.962.951;19.295;74.180;3542;17%;
Dom;19/fev;região I;A;1;2.994.277;19.886;75.474;3777;18%;
Seg;20/fev;região I;A;1;6.253.821;49.965;156.075;8.920;16%;
Ter;21/fev;região I;A;1;6.025.107;40.963;152.494;7.754;17%;
Qua;22/fev;região I;A;1;6.279.218;43.393;165.935;8.385;16%;
Qui;23/fev;região I;A;1;6.031.575;40.784;165.146;7.677;15%;
Sex;24/fev;região I;A;1;4.723.905;28.955;121.544;5.729;15%;
Sáb;25/fev;região I;A;1;3.829.887;19.591;85.689;3519;16%;
Dom;26/fev;região I;A;1;2.423.111;13.244;61.360;2645;17%;
Seg;27/fev;região I;A;1;5.519.180;35.014;145.469;6.503;16%;
Ter;28/fev;região I;A;1;5.115.373;35.587;134.407;6.272;16%;
Qua;01/mar;região I;A;1;5.208.420;30.118;147.460;5.725;16%;
Qui;02/mar;região I;A;1;5.506.724;35.776;154.866;6.791;16%;
Sex;03/mar;região I;A;1;5.386.129;35.285;151.510;6.818;16%;
Sáb;04/mar;região I;A;1;3.925.044;25.005;110.487;4.528;16%;
Dom;05/mar;região I;A;1;3.262.373;22.501;91.523;4.166;16%;
Seg;06/mar;região I;A;1;5.885.450;43.344;178.382;8.281;17%;
Ter;07/mar;região I;A;1;6.532.683;46.903;188.184;8.620;16%;
Qua;08/mar;região I;A;1;6.470.958;45.422;188.948;8.381;15%;
Qui;09/mar;região I;A;1;6.245.728;42.119;192.214;7.873;15%;
Sex;10/mar;região I;A;1;4.900.904;32.388;144.104;6.414;16%;
Sáb;11/mar;região I;A;1;3.709.650;26.133;109.550;4.701;16%;
